,InstanceType,MaximumNetworkInterfaces
214,Standard_D8d_v5,4
215,Standard_D8lds_v5,4
216,Standard_D8ls_v5,4
217,Standard_D8pds_v5,4
218,Standard_D8plds_v5,4
219,Standard_D8pls_v5,4
220,Standard_D8ps_v5,4
221,Standard_D8s_v3,4
222,Standard_D8s_v4,4
223,Standard_D8s_v5,4
224,Standard_D8_v3,4
225,Standard_D8_v4,4
226,Standard_D8_v5,4
227,Standard_D96ads_v5,8
228,Standard_D96as_v4,8
229,Standard_D96as_v5,8
230,Standard_D96a_v4,8
231,Standard_D96ds_v5,8
232,Standard_D96d_v5,8
233,Standard_D96lds_v5,8
234,Standard_D96ls_v5,8
235,Standard_D96s_v5,8
236,Standard_D96_v5,8
237,Standard_DC16ads_cc_v5,8
238,Standard_DC16ads_v5,4
239,Standard_DC16as_cc_v5,8
240,Standard_DC16as_v5,4
241,Standard_DC16ds_v3,8
242,Standard_DC16s_v3,8
243,Standard_DC1ds_v3,2
244,Standard_DC1s_v2,2
245,Standard_DC1s_v3,2
246,Standard_DC24ds_v3,8
247,Standard_DC24s_v3,8
248,Standard_DC2ads_v5,2
249,Standard_DC2as_v5,2
250,Standard_DC2ds_v3,2
251,Standard_DC2s,2
252,Standard_DC2s_v2,2
253,Standard_DC2s_v3,2
254,Standard_DC32ads_cc_v5,8
255,Standard_DC32ads_v5,8
256,Standard_DC32as_cc_v5,8
257,Standard_DC32as_v5,8
258,Standard_DC32ds_v3,8
259,Standard_DC32s_v3,8
260,Standard_DC48ads_cc_v5,8
261,Standard_DC48ads_v5,8
262,Standard_DC48as_cc_v5,8
263,Standard_DC48as_v5,8
264,Standard_DC48ds_v3,8
265,Standard_DC48s_v3,8
266,Standard_DC4ads_cc_v5,4
267,Standard_DC4ads_v5,2
268,Standard_DC4as_cc_v5,4
269,Standard_DC4as_v5,2
270,Standard_DC4ds_v3,4
271,Standard_DC4s,2
272,Standard_DC4s_v2,2
273,Standard_DC4s_v3,4
274,Standard_DC64ads_cc_v5,8
275,Standard_DC64ads_v5,8
276,Standard_DC64as_cc_v5,8
277,Standard_DC64as_v5,8
278,Standard_DC8ads_cc_v5,8
279,Standard_DC8ads_v5,4
280,Standard_DC8as_cc_v5,8
281,Standard_DC8as_v5,4
282,Standard_DC8ds_v3,8
283,Standard_DC8s_v3,8
284,Standard_DC8_v2,1
285,Standard_DC96ads_cc_v5,8
286,Standard_DC96ads_v5,8
287,Standard_DC96as_cc_v5,8
288,Standard_DC96as_v5,8
289,Standard_DS1,2
290,Standard_DS11,2
291,Standard_DS11-1_v2,2
292,Standard_DS11_v2,2
293,Standard_DS11_v2_Promo,2
294,Standard_DS12,4
295,Standard_DS12-1_v2,4
296,Standard_DS12-2_v2,4
297,Standard_DS12_v2,4
298,Standard_DS12_v2_Promo,4
299,Standard_DS13,8
300,Standard_DS13-2_v2,8
301,Standard_DS13-4_v2,8
302,Standard_DS13_v2,8
303,Standard_DS13_v2_Promo,8
304,Standard_DS14,8
305,Standard_DS14-4_v2,8
306,Standard_DS14-8_v2,8
307,Standard_DS14_v2,8
308,Standard_DS14_v2_Promo,8
309,Standard_DS15_v2,8
310,Standard_DS1_v2,2
