,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
63,us-east-1c,r6idn.2xlarge,4,0.3347,0.087425,2024-01-26 17:17:39+00:00
64,us-east-1c,g4dn.4xlarge,3,0.6002,0.2034,2024-01-26 17:17:38+00:00
65,us-east-1c,m6idn.16xlarge,15,1.9916,0.13743999999999998,2024-01-26 17:17:38+00:00
66,us-east-1a,c6gn.large,3,0.0378,0.015933333333333334,2024-01-26 17:17:37+00:00
67,us-east-1d,r5a.large,3,0.0539,0.0213,2024-01-26 17:17:37+00:00
68,us-east-1f,c4.xlarge,4,0.0763,0.022825,2024-01-26 17:17:36+00:00
69,us-east-1b,r6g.2xlarge,4,0.1927,0.051925,2024-01-26 17:17:35+00:00
70,us-east-1d,r6g.2xlarge,4,0.2223,0.059325,2024-01-26 17:17:35+00:00
71,us-east-1b,c6i.4xlarge,8,0.3075,0.0428125,2024-01-26 17:17:35+00:00
72,us-east-1b,r7i.large,3,0.0631,0.024366666666666665,2024-01-26 17:17:35+00:00
73,us-east-1f,r5dn.metal,15,3.6661,0.24907333333333334,2024-01-26 17:17:34+00:00
74,us-east-1b,r5a.4xlarge,8,0.4175,0.0565625,2024-01-26 17:17:34+00:00
75,us-east-1a,r5.12xlarge,8,1.3675,0.17531249999999998,2024-01-26 17:17:34+00:00
76,us-east-1a,c6gn.16xlarge,15,1.1178,0.07918666666666667,2024-01-26 17:17:34+00:00
77,us-east-1a,m7g.2xlarge,4,0.153,0.041999999999999996,2024-01-26 17:17:33+00:00
78,us-east-1c,c6g.12xlarge,8,0.7949,0.10373750000000001,2024-01-26 17:17:33+00:00
79,us-east-1f,c7g.12xlarge,8,0.8105,0.1056875,2024-01-26 17:17:33+00:00
80,us-east-1c,r6idn.32xlarge,14,4.8211,0.3490071428571429,2024-01-26 17:17:32+00:00
81,us-east-1e,m4.xlarge,4,0.0849,0.024975,2024-01-26 17:17:32+00:00
82,us-east-1d,t3a.xlarge,4,0.067,0.0205,2024-01-26 17:17:32+00:00
83,us-east-1f,r6g.large,3,0.0497,0.0199,2024-01-26 17:17:31+00:00
84,us-east-1d,m5.metal,15,1.967,0.1358,2024-01-26 17:17:31+00:00
85,us-east-1f,c5.9xlarge,8,0.6329,0.0834875,2024-01-26 17:17:31+00:00
86,us-east-1b,m7i.24xlarge,15,2.0747,0.14298,2024-01-26 17:17:30+00:00
87,us-east-1c,m7i.24xlarge,15,2.3521,0.16147333333333333,2024-01-26 17:17:30+00:00
88,us-east-1c,r6idn.metal,14,5.2607,0.3804071428571429,2024-01-26 17:17:30+00:00
89,us-east-1c,r6i.xlarge,4,0.1185,0.033375,2024-01-26 17:17:28+00:00
90,us-east-1a,r6i.metal,15,3.1649,0.21566,2024-01-26 17:17:28+00:00
91,us-east-1a,x2gd.xlarge,4,0.1591,0.043524999999999994,2024-01-26 17:17:28+00:00
92,us-east-1b,x2iezn.6xlarge,8,2.1173,0.26903750000000004,2024-01-26 17:17:28+00:00
93,us-east-1f,c7i.metal-24xl,15,1.7697,0.12264666666666667,2024-01-26 17:17:27+00:00
94,us-east-1b,i3.metal,15,1.7656,0.12237333333333335,2024-01-26 17:17:26+00:00
95,us-east-1b,c6in.12xlarge,8,1.2621,0.1621375,2024-01-26 17:17:25+00:00
96,us-east-1a,r6a.24xlarge,15,2.4806,0.17004,2024-01-26 17:17:23+00:00
97,us-east-1c,c5ad.large,3,0.0548,0.021599999999999998,2024-01-26 17:17:23+00:00
98,us-east-1f,p3.8xlarge,8,4.7403,0.5969125000000001,2024-01-26 17:17:21+00:00
99,us-east-1d,c1.xlarge,4,0.2398,0.0637,2024-01-26 17:17:20+00:00
100,us-east-1d,r7g.large,3,0.0421,0.017366666666666666,2024-01-26 17:17:19+00:00
101,us-east-1d,g5.2xlarge,4,0.619,0.1585,2024-01-26 17:17:19+00:00
102,us-east-1b,m6a.4xlarge,8,0.4222,0.057150000000000006,2024-01-26 17:17:19+00:00
103,us-east-1c,t3a.large,3,0.0399,0.016633333333333333,2024-01-26 17:17:18+00:00
104,us-east-1b,m6in.12xlarge,8,1.6526,0.21095,2024-01-26 17:17:18+00:00
105,us-east-1b,c4.large,3,0.0566,0.022199999999999998,2024-01-26 17:17:18+00:00
106,us-east-1f,r6a.12xlarge,8,1.3356,0.17132499999999998,2024-01-26 17:17:18+00:00
107,us-east-1d,vt1.3xlarge,4,0.3221,0.084275,2024-01-26 17:17:16+00:00
108,us-east-1c,r7g.12xlarge,8,1.3208,0.169475,2024-01-26 17:17:15+00:00
109,us-east-1c,r7g.8xlarge,8,0.8675,0.11281250000000001,2024-01-26 17:17:15+00:00
110,us-east-1a,c6a.24xlarge,15,1.5236,0.10624000000000001,2024-01-26 17:17:13+00:00
