,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
397,397,US East,E32ads v5 Spot,1,0.2096,0.2096,2022-11-01 00:00:00+00:00,Azure
1646,1646,US East,E32-16as v5 Spot,1,0.1808,0.1808,2022-11-01 00:00:00+00:00,Azure
94,94,US East,E96-24ads v5 Spot,1,0.6288,0.6288,2022-11-01 00:00:00+00:00,Azure
1021,1021,US East,E4as v5 Spot,1,0.0226,0.0226,2022-11-01 00:00:00+00:00,Azure
226,226,US East,Standard_D48as_v5 Spot,8,0.2064,0.0658,2022-11-01 00:00:00+00:00,Azure
1636,1636,US East,E2as v5 Spot,1,0.0113,0.0113,2022-11-01 00:00:00+00:00,Azure
153,153,US East,Standard_D4ads_v5 Spot,2,0.0206,0.0203,2022-11-01 00:00:00+00:00,Azure
444,444,US East,E8-2as v5 Spot,1,0.0452,0.0452,2022-11-01 00:00:00+00:00,Azure
1639,1639,US East,E48ads v5 Spot,1,0.3144,0.3144,2022-11-01 00:00:00+00:00,Azure
1086,1086,US East,E8-4as v5 Spot,1,0.0452,0.0452,2022-11-01 00:00:00+00:00,Azure
658,658,US East,E20ads v5 Spot,1,0.131,0.131,2022-11-01 00:00:00+00:00,Azure
1220,1220,US East,Standard_D48ads_v5 Spot,8,0.2472,0.0709,2022-11-01 00:00:00+00:00,Azure
102,102,US East,E96-48as v5 Spot,1,0.5424,0.5424,2022-11-01 00:00:00+00:00,Azure
1121,1121,US East,E64-32as v5 Spot,1,0.3616,0.3616,2022-11-01 00:00:00+00:00,Azure
1219,1219,US East,E64-16ads v5 Spot,1,0.4192,0.4192,2022-11-01 00:00:00+00:00,Azure
576,576,US East,E16-8ads v5 Spot,1,0.1048,0.1048,2022-11-01 00:00:00+00:00,Azure
1130,1130,US East,E4-2as v5 Spot,1,0.0226,0.0226,2022-11-01 00:00:00+00:00,Azure
1001,1001,US East,E4-2ads v5 Spot,1,0.0262,0.0262,2022-11-01 00:00:00+00:00,Azure
1603,1603,US East,E16as v5 Spot,1,0.0904,0.0904,2022-11-01 00:00:00+00:00,Azure
1541,1541,US East,Standard_D8as_v5 Spot,4,0.0344,0.0286,2022-11-01 00:00:00+00:00,Azure
211,211,US East,Standard_D4as_v5 Spot,2,0.0172,0.0186,2022-11-01 00:00:00+00:00,Azure
1003,1003,US East,E8ads v5 Spot,1,0.0524,0.0524,2022-11-01 00:00:00+00:00,Azure
1607,1607,US East,E112ias v5 Spot,1,0.6961,0.6961,2022-11-01 00:00:00+00:00,Azure
1651,1651,US East,E16-4as v5 Spot,1,0.0904,0.0904,2022-11-01 00:00:00+00:00,Azure
1523,1523,US East,E64-32ads v5 Spot,1,0.4192,0.4192,2022-11-01 00:00:00+00:00,Azure
1216,1216,US East,E16ads v5 Spot,1,0.1048,0.1048,2022-11-01 00:00:00+00:00,Azure
1242,1242,US East,Standard_D64as_v5 Spot,8,0.2752,0.0744,2022-11-01 00:00:00+00:00,Azure
982,982,US East,Standard_D96ads_v5 Spot,8,0.4944,0.1018,2022-11-01 00:00:00+00:00,Azure
179,179,US East,E32-8as v5 Spot,1,0.1808,0.1808,2022-11-01 00:00:00+00:00,Azure
35,35,US East,E16-4ads v5 Spot,1,0.1048,0.1048,2022-11-01 00:00:00+00:00,Azure
455,455,US East,Standard_D32ads_v5 Spot,8,0.1648,0.0606,2022-11-01 00:00:00+00:00,Azure
526,526,US East,E64ads v5 Spot,1,0.4192,0.4192,2022-11-01 00:00:00+00:00,Azure
851,851,US East,E64as v5 Spot,1,0.3616,0.3616,2022-11-01 00:00:00+00:00,Azure
