,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
70,US East,E8-2as_v4 Spot,1,0.0504,0.0504,2022-07-01T00:00:00Z
71,US East,E96-24ds v5 Spot,1,1.235885,1.235885,2024-01-01T00:00:00Z
72,US East,D48a v4 Spot,1,0.2304,0.2304,2022-07-01T00:00:00Z
73,US East,M416-104s_v2 Spot,1,4.958,4.958,2023-08-01T00:00:00Z
74,US East,B8ls v2 Spot,1,0.07375,0.07375,2023-09-01T00:00:00Z
75,US East,E2d v4 Spot,1,0.025748,0.025748,2024-01-01T00:00:00Z
76,US East,E64-16ds v5 Spot,1,0.4608,0.4608,2024-01-01T00:00:00Z
77,US East,B2ls v2 Spot,1,0.0104,0.0104,2023-09-01T00:00:00Z
78,US East,E64-32as_v4 Spot,1,0.6976,0.6976,2023-09-01T00:00:00Z
79,US East,D8a v4 Spot,1,0.0752,0.0752,2023-09-01T00:00:00Z
80,US East,E48ads v5 Spot,1,0.5352,0.5352,2023-11-01T00:00:00Z
81,US East,B32ls v2 Spot,1,0.3315,0.3315,2023-09-01T00:00:00Z
82,US East,D5 v2 Spot,1,0.149058,0.149058,2024-01-01T00:00:00Z
83,US East,DC2s Spot,1,0.0198,0.0198,2023-09-01T00:00:00Z
84,US East,Standard_D4d_v5 Spot,2,0.044731,0.0323655,2024-01-01T00:00:00Z
85,US East,E20as v4 Spot,1,0.218,0.218,2023-09-01T00:00:00Z
86,US East,Standard_E8bs_v5 Spot,4,0.0596,0.0349,2024-01-01T00:00:00Z
87,US East,Standard_EC64as_v5 Spot,8,2.480214,0.35002675,2024-01-01T00:00:00Z
88,US East,Standard_DC4as_cc_v5 Spot,4,0.089,0.042249999999999996,2023-09-01T00:00:00Z
89,US East,Standard_E16bs_v5 Spot,8,0.210345,0.06629312500000001,2024-01-01T00:00:00Z
90,US East,M64dms_v2 Spot,1,1.3284,1.3284,2023-08-01T00:00:00Z
91,US East,A1 Spot,1,0.063,0.063,2023-12-01T00:00:00Z
92,US East,D4 v2 Spot,1,0.164102,0.164102,2024-01-01T00:00:00Z
93,US East,Standard_M12ds_v3 Spot,4,0.545,0.15625,2023-11-01T00:00:00Z
94,US East,E96-24ads v5 Spot,1,0.6288,0.6288,2022-11-01T00:00:00Z
95,US East,M128dms_v2 Spot,1,2.669,2.669,2023-08-01T00:00:00Z
96,US East,M64ms Spot,1,1.0337,1.0337,2023-08-01T00:00:00Z
97,US East,D5 v2 Spot,1,0.328205,0.328205,2024-01-01T00:00:00Z
98,US East,Standard_M96s_1_v3 Spot,8,3.44,0.47,2023-11-01T00:00:00Z
99,US East,Standard_D32pds_v5 Spot,8,0.1446,0.058075,2023-06-01T00:00:00Z
100,US East,Standard_L32as_v3 Spot,8,0.3968,0.0896,2024-01-01T00:00:00Z
101,US East,Standard_E104id_v5 Spot,8,1.420591,0.217573875,2024-01-01T00:00:00Z
102,US East,E96-48as v5 Spot,1,0.5424,0.5424,2022-11-01T00:00:00Z
103,US East,Standard_EC32ads_v5 Spot,8,1.437437,0.21967962500000002,2024-01-01T00:00:00Z
104,US East,E112ias v5 Spot,1,1.2113,1.2113,2023-11-01T00:00:00Z
105,US East,A4 v2 Spot,1,0.0191,0.0191,2024-01-01T00:00:00Z
106,US East,Standard_D2_v5 Spot,2,0.0096,0.0148,2024-01-01T00:00:00Z
